"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"23:07:15.4230561","Dropbox.exe","6240","Process Profiling","","SUCCESS","User Time: 0.0781250 seconds, Kernel Time: 0.0468750 seconds, Private Bytes: 2,494,464, Working Set: 10,031,104"
"23:07:15.4230721","IDMIntegrator64.exe","8096","Process Profiling","","SUCCESS","User Time: 4.7500000 seconds, Kernel Time: 18.0468750 seconds, Private Bytes: 2,367,488, Working Set: 7,831,552"
"23:07:15.4231252","svchost.exe","10064","Process Profiling","","SUCCESS","User Time: 0.3750000 seconds, Kernel Time: 0.4531250 seconds, Private Bytes: 6,905,856, Working Set: 22,179,840"
"23:07:15.4231507","AsusTPLoader.exe","6452","Process Profiling","","SUCCESS","User Time: 0.3437500 seconds, Kernel Time: 0.7031250 seconds, Private Bytes: 2,658,304, Working Set: 212,992"
"23:07:15.4231953","QtWebEngineProcess.exe","3204","Process Profiling","","SUCCESS","User Time: 1.0937500 seconds, Kernel Time: 0.3281250 seconds, Private Bytes: 32,862,208, Working Set: 29,974,528"
"23:07:15.4231984","SearchIndexer.exe","9952","Process Profiling","","SUCCESS","User Time: 16.1562500 seconds, Kernel Time: 7.0937500 seconds, Private Bytes: 38,748,160, Working Set: 31,784,960"
"23:07:15.4232140","svchost.exe","10032","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.0625000 seconds, Private Bytes: 2,195,456, Working Set: 8,253,440"
"23:07:15.4232756","svchost.exe","3460","Process Profiling","","SUCCESS","User Time: 0.0312500 seconds, Kernel Time: 0.2656250 seconds, Private Bytes: 2,101,248, Working Set: 10,723,328"
"23:07:15.4233738","AsusTPHelper.exe","7224","Process Profiling","","SUCCESS","User Time: 0.4843750 seconds, Kernel Time: 0.5156250 seconds, Private Bytes: 1,425,408, Working Set: 102,400"
"23:07:15.4234345","svchost.exe","8456","Process Profiling","","SUCCESS","User Time: 0.0625000 seconds, Kernel Time: 0.1093750 seconds, Private Bytes: 3,600,384, Working Set: 6,615,040"
"23:07:15.4234916","svchost.exe","10904","Process Profiling","","SUCCESS","User Time: 4.0781250 seconds, Kernel Time: 13.0156250 seconds, Private Bytes: 4,214,784, Working Set: 13,737,984"
"23:07:15.4235469","SkypeBridge.exe","7656","Process Profiling","","SUCCESS","User Time: 0.9687500 seconds, Kernel Time: 0.9687500 seconds, Private Bytes: 32,739,328, Working Set: 38,895,616"
"23:07:15.4235684","chrome.exe","8724","Process Profiling","","SUCCESS","User Time: 928.2812500 seconds, Kernel Time: 385.3437500 seconds, Private Bytes: 211,312,640, Working Set: 233,582,592"
